190
33274,test 2 Admin_Vanguard ETFs Strategic Asset Allocation Moderate,2011-06-08 00:00:00,fail,2011-09-13 18:11:45,2011-09-13 18:11:46,0.95secs,"null
	com.lti.executor.Simulator.dividendAdjustment(Simulator.java:736)
	com.lti.executor.Simulator.simulate(Simulator.java:950)
	com.lti.executor.Executor.execute(Executor.java:804)
	com.lti.executor.Executor.execute(Executor.java:975)
	com.lti.executor.Executor.execute(Executor.java:907)
	com.lti.executor.BatchExecutorThread.run(BatchExecutorThread.java:223)
"
32480,Smart Money style_GXIIX,2011-05-12 00:00:00,fail,2011-09-13 18:11:46,2011-09-13 18:11:50,4.016secs,success.
32479,Smart Money style_TINCX,2011-05-12 00:00:00,fail,2011-09-13 18:11:50,2011-09-13 18:11:53,2.899secs,success.
32473,Smart Money style_INTLX,2011-05-12 00:00:00,fail,2011-09-13 18:11:53,2011-09-13 18:11:56,3.001secs,success.
32472,Smart Money style_BRUFX,2011-05-12 00:00:00,fail,2011-09-13 18:11:56,2011-09-13 18:12:00,3.57secs,success.
32101,Schwab ETF Select List Strategic Asset Allocation Moderate,2011-05-06 00:00:00,fail,2011-09-13 18:12:00,2011-09-13 18:12:01,1.043secs,success.
32100,Schwab ETF Select List Tactical Asset Allocation Moderate,2011-05-27 00:00:00,fail,2011-09-13 18:12:01,2011-09-13 18:12:38,37.14secs,success.
32075,Smart Money style_MALOX,2011-05-12 00:00:00,fail,2011-09-13 18:12:38,2011-09-13 18:12:40,2.152secs,success.
32073,Smart Money style_DGPIX,2011-05-12 00:00:00,fail,2011-09-13 18:12:40,2011-09-13 18:12:43,3.229secs,success.
32072,Smart Money style_SGIIX,2011-05-12 00:00:00,fail,2011-09-13 18:12:43,2011-09-13 18:12:46,2.677secs,success.
32071,Smart Money style_LSWWX,2011-05-12 00:00:00,fail,2011-09-13 18:12:46,2011-09-13 18:12:49,2.884secs,success.
32070,Smart Money style_PGBAX,2011-05-12 00:00:00,fail,2011-09-13 18:12:49,2011-09-13 18:12:51,2.204secs,success.
32068,Smart Money style_WASYX,2011-05-12 00:00:00,fail,2011-09-13 18:12:51,2011-09-13 18:12:53,2.318secs,success.
32067,Smart Money style_PGMAX,2011-05-12 00:00:00,fail,2011-09-13 18:12:53,2011-09-13 18:12:55,1.878secs,success.
32066,Smart Money style_PASDX,2011-05-12 00:00:00,fail,2011-09-13 18:12:55,2011-09-13 18:12:57,1.918secs,success.
32065,Smart Money style_GBMFX,2011-05-12 00:00:00,fail,2011-09-13 18:12:57,2011-09-13 18:13:00,3.062secs,success.
32064,Smart Money style_VAAPX,2011-05-12 00:00:00,fail,2011-09-13 18:13:00,2011-09-13 18:13:03,2.228secs,success.
32063,Smart Money style_GRSPX,2011-05-12 00:00:00,fail,2011-09-13 18:13:03,2011-09-13 18:13:05,2.007secs,success.
32062,Smart Money style_LCORX,2011-05-12 00:00:00,fail,2011-09-13 18:13:05,2011-09-13 18:13:07,2.156secs,success.
32061,Smart Money style_SVBIX,2011-05-12 00:00:00,fail,2011-09-13 18:13:07,2011-09-13 18:13:09,2.156secs,success.
32060,Smart Money style_MNBAX,2011-05-12 00:00:00,fail,2011-09-13 18:13:09,2011-09-13 18:13:11,2.002secs,success.
32059,Smart Money style_FPACX,2011-0
